sku,item_name,department,list_price,sell_price,unit_cost,stock_on_hand,days_until_expiry
BKY-001,Sourdough Boule 800g,Bakery,5.49,5.49,2.2,95,3
BKY-002,Butter Croissant 4-Pack,Bakery,4.29,4.29,1.7,70,2
BKY-003,Cinnamon Swirl Loaf,Bakery,6.19,5.49,2.5,40,5
DEL-101,Rotisserie Chicken Salad 300g,Deli,7.99,7.99,4.0,55,3
DEL-102,Hummus Classic 250g,Deli,3.79,3.79,1.5,130,6
DEL-103,Antipasto Olive Mix,Deli,5.59,5.59,2.8,25,9
DRY-201,Greek Yogurt 4x125g,Dairy,4.99,4.99,2.5,160,8
DRY-202,Aged Cheddar Block 400g,Dairy,8.49,8.49,4.7,45,21
BEV-301,Cold-Pressed Orange Juice 1L,Beverages,4.49,4.49,2.2,85,9
BEV-302,Kombucha Ginger 330ml,Beverages,3.29,3.29,1.4,60,30
PRD-401,Berry Medley Punnet,Produce,4.99,4.99,2.6,110,2
PRD-402,Prepared Fruit Salad Bowl,Produce,5.99,5.99,3.0,75,3
